,zipcode,agi_stub,N1
103595,10804,4,490
103596,10804,5,1470
103597,10804,6,2310
103598,10805,1,2850
103599,10805,2,2050
103600,10805,3,1600
103601,10805,4,1040
103602,10805,5,1330
103603,10805,6,350
103604,10901,1,3270
103605,10901,2,1970
103606,10901,3,1430
103607,10901,4,1080
103608,10901,5,2320
103609,10901,6,1360
103610,10913,1,680
103611,10913,2,350
103612,10913,3,280
103613,10913,4,250
103614,10913,5,610
103615,10913,6,430
103616,10914,1,80
103617,10914,2,70
103618,10914,3,50
103619,10914,4,30
103620,10914,5,90
103621,10914,6,30
103622,10915,1,70
103623,10915,2,50
103624,10915,3,40
103625,10915,4,0
103626,10915,5,30
103627,10915,6,0
103628,10916,1,600
103629,10916,2,330
103630,10916,3,280
103631,10916,4,220
103632,10916,5,570
103633,10916,6,190
103634,10917,1,320
103635,10917,2,160
103636,10917,3,140
103637,10917,4,90
103638,10917,5,210
103639,10917,6,90
103640,10918,1,1600
103641,10918,2,990
103642,10918,3,790
103643,10918,4,670
103644,10918,5,1260
103645,10918,6,390
103646,10919,1,180
103647,10919,2,140
103648,10919,3,70
103649,10919,4,70
103650,10919,5,120
103651,10919,6,30
103652,10920,1,1210
103653,10920,2,730
103654,10920,3,550
103655,10920,4,490
103656,10920,5,1110
103657,10920,6,410
103658,10921,1,600
103659,10921,2,390
103660,10921,3,320
103661,10921,4,230
103662,10921,5,470
103663,10921,6,120
103664,10922,1,210
103665,10922,2,140
103666,10922,3,130
103667,10922,4,120
103668,10922,5,180
103669,10922,6,40
103670,10923,1,1610
103671,10923,2,1050
103672,10923,3,740
103673,10923,4,480
103674,10923,5,800
103675,10923,6,190
103676,10924,1,1760
103677,10924,2,1040
103678,10924,3,820
103679,10924,4,610
103680,10924,5,1400
103681,10924,6,550
103682,10925,1,720
103683,10925,2,480
103684,10925,3,370
103685,10925,4,300
103686,10925,5,470
103687,10925,6,90
103688,10926,1,550
103689,10926,2,390
103690,10926,3,310
103691,10926,4,220
103692,10926,5,340
103693,10926,6,90
103694,10927,1,2970
103695,10927,2,1620
103696,10927,3,660
103697,10927,4,340
103698,10927,5,400
103699,10927,6,120
103700,10928,1,740
103701,10928,2,590
103702,10928,3,360
103703,10928,4,210
103704,10928,5,290
103705,10928,6,60
103706,10930,1,1220
103707,10930,2,640
103708,10930,3,520
103709,10930,4,440
103710,10930,5,1100
103711,10930,6,390
103712,10931,1,180
103713,10931,2,120
103714,10931,3,70
103715,10931,4,60
103716,10931,5,80
103717,10931,6,0
103718,10932,1,60
103719,10932,2,40
103720,10932,3,30
103721,10932,4,20
103722,10932,5,40
103723,10932,6,0
103724,10933,1,70
103725,10933,2,40
103726,10933,3,20
103727,10933,4,30
103728,10933,5,60
103729,10933,6,0
103730,10940,1,8900
103731,10940,2,6040
103732,10940,3,3450
103733,10940,4,2250
103734,10940,5,3120
103735,10940,6,470
103736,10941,1,2180
103737,10941,2,1740
103738,10941,3,1060
103739,10941,4,740
103740,10941,5,1070
103741,10941,6,200
103742,10950,1,6600
103743,10950,2,3180
103744,10950,3,1880
103745,10950,4,1480
103746,10950,5,3230
103747,10950,6,1120
103748,10952,1,5340
103749,10952,2,2380
103750,10952,3,1130
103751,10952,4,790
103752,10952,5,1520
103753,10952,6,1040
103754,10953,1,50
103755,10953,2,30
103756,10953,3,50
103757,10953,4,0
103758,10953,5,50
103759,10953,6,20
103760,10954,1,3540
103761,10954,2,2250
103762,10954,3,1670
103763,10954,4,1320
103764,10954,5,2660
103765,10954,6,940
103766,10956,1,4110
103767,10956,2,2180
103768,10956,3,1750
103769,10956,4,1400
103770,10956,5,4000
103771,10956,6,2530
103772,10958,1,490
103773,10958,2,290
103774,10958,3,230
103775,10958,4,180
103776,10958,5,340
103777,10958,6,80
103778,10960,1,2310
103779,10960,2,1470
103780,10960,3,1020
103781,10960,4,730
103782,10960,5,1410
103783,10960,6,800
103784,10962,1,650
103785,10962,2,370
103786,10962,3,320
103787,10962,4,250
103788,10962,5,590
103789,10962,6,360
103790,10963,1,370
103791,10963,2,240
103792,10963,3,170
103793,10963,4,150
103794,10963,5,240
103795,10963,6,30
103796,10964,1,170
103797,10964,2,110
103798,10964,3,90
103799,10964,4,60
103800,10964,5,140
103801,10964,6,180
103802,10965,1,1970
103803,10965,2,1190
103804,10965,3,1030
103805,10965,4,780
103806,10965,5,2020
103807,10965,6,900
103808,10968,1,250
103809,10968,2,190
103810,10968,3,190
103811,10968,4,150
103812,10968,5,300
103813,10968,6,200
103814,10969,1,200
103815,10969,2,160
103816,10969,3,80
103817,10969,4,70
103818,10969,5,100
103819,10969,6,40
103820,10970,1,1500
103821,10970,2,1060
103822,10970,3,760
103823,10970,4,540
103824,10970,5,1000
103825,10970,6,360
103826,10973,1,360
103827,10973,2,200
103828,10973,3,140
103829,10973,4,130
103830,10973,5,250
103831,10973,6,60
103832,10974,1,460
103833,10974,2,290
103834,10974,3,210
103835,10974,4,160
103836,10974,5,320
103837,10974,6,120
103838,10975,1,50
103839,10975,2,40
103840,10975,3,40
103841,10975,4,20
103842,10975,5,20
103843,10975,6,0
103844,10976,1,320
103845,10976,2,170
103846,10976,3,100
103847,10976,4,70
103848,10976,5,120
103849,10976,6,70
103850,10977,1,11080
103851,10977,2,6130
103852,10977,3,2570
103853,10977,4,1520
103854,10977,5,2270
103855,10977,6,760
103856,10979,1,40
103857,10979,2,0
103858,10979,3,30
103859,10979,4,0
103860,10979,5,30
103861,10979,6,0
103862,10980,1,2010
103863,10980,2,1290
103864,10980,3,980
103865,10980,4,700
103866,10980,5,1530
103867,10980,6,560
103868,10983,1,710
103869,10983,2,430
103870,10983,3,360
103871,10983,4,290
103872,10983,5,810
103873,10983,6,380
103874,10984,1,320
103875,10984,2,240
103876,10984,3,190
103877,10984,4,150
103878,10984,5,340
103879,10984,6,110
103880,10985,1,40
103881,10985,2,40
103882,10985,3,20
103883,10985,4,20
103884,10985,5,30
103885,10985,6,0
103886,10986,1,260
103887,10986,2,170
103888,10986,3,100
103889,10986,4,110
103890,10986,5,200
103891,10986,6,100
103892,10987,1,600
103893,10987,2,220
103894,10987,3,210
103895,10987,4,160
103896,10987,5,400
103897,10987,6,300
103898,10988,1,120
103899,10988,2,110
103900,10988,3,50
103901,10988,4,40
103902,10988,5,40
103903,10988,6,0
103904,10989,1,1200
103905,10989,2,840
103906,10989,3,710
103907,10989,4,610
103908,10989,5,1240
103909,10989,6,440
103910,10990,1,2850
103911,10990,2,1610
103912,10990,3,1180
103913,10990,4,1040
103914,10990,5,2190
103915,10990,6,920
103916,10992,1,1370
103917,10992,2,840
103918,10992,3,600
103919,10992,4,520
103920,10992,5,1090
103921,10992,6,310
103922,10993,1,980
103923,10993,2,680
103924,10993,3,360
103925,10993,4,220
103926,10993,5,270
103927,10993,6,20
103928,10994,1,980
103929,10994,2,530
103930,10994,3,470
103931,10994,4,380
103932,10994,5,900
103933,10994,6,610
103934,10996,1,320
103935,10996,2,120
103936,10996,3,170
103937,10996,4,180
103938,10996,5,250
103939,10996,6,50
103940,10998,1,420
103941,10998,2,270
103942,10998,3,220
103943,10998,4,190
103944,10998,5,370
103945,10998,6,80
103946,11001,1,3850
103947,11001,2,2380
103948,11001,3,1800
103949,11001,4,1460
103950,11001,5,3090
103951,11001,6,1290
103952,11003,1,8250
103953,11003,2,6240
103954,11003,3,3690
103955,11003,4,2410
103956,11003,5,2980
103957,11003,6,410
103958,11004,1,2010
103959,11004,2,1330
103960,11004,3,1080
103961,11004,4,860
103962,11004,5,1330
103963,11004,6,230
103964,11005,1,210
103965,11005,2,150
103966,11005,3,200
103967,11005,4,200
103968,11005,5,440
103969,11005,6,250
103970,11010,1,3520
103971,11010,2,2300
103972,11010,3,1880
103973,11010,4,1460
103974,11010,5,2840
103975,11010,6,660
103976,11020,1,880
103977,11020,2,450
103978,11020,3,280
103979,11020,4,200
103980,11020,5,540
103981,11020,6,700
103982,11021,1,2130
103983,11021,2,1290
103984,11021,3,1190
103985,11021,4,930
103986,11021,5,1880
103987,11021,6,1870
103988,11023,1,990
103989,11023,2,540
103990,11023,3,420
103991,11023,4,320
103992,11023,5,770
103993,11023,6,940
103994,11024,1,960
103995,11024,2,430
103996,11024,3,300
103997,11024,4,210
103998,11024,5,470
103999,11024,6,790
104000,11030,1,1880
104001,11030,2,770
104002,11030,3,740
104003,11030,4,560
104004,11030,5,1370
104005,11030,6,3270
104006,11040,1,5530
104007,11040,2,3430
104008,11040,3,2760
104009,11040,4,2180
104010,11040,5,5140
104011,11040,6,2280
104012,11042,1,100
104013,11042,2,80
104014,11042,3,50
104015,11042,4,40
104016,11042,5,90
104017,11042,6,100
104018,11050,1,4120
104019,11050,2,2070
104020,11050,3,1560
104021,11050,4,1180
104022,11050,5,2700
104023,11050,6,3400
104024,11096,1,2000
104025,11096,2,1000
104026,11096,3,490
104027,11096,4,290
104028,11096,5,280
104029,11096,6,40
104030,11101,1,5730
104031,11101,2,3590
104032,11101,3,2740
104033,11101,4,1810
104034,11101,5,3120
104035,11101,6,1540
104036,11102,1,6820
104037,11102,2,4500
104038,11102,3,3360
104039,11102,4,1900
104040,11102,5,2200
104041,11102,6,470
104042,11103,1,7090
104043,11103,2,5080
104044,11103,3,4060
104045,11103,4,2040
104046,11103,5,2170
104047,11103,6,390
104048,11104,1,5230
104049,11104,2,3460
104050,11104,3,2610
104051,11104,4,1570
104052,11104,5,1830
104053,11104,6,410
104054,11105,1,6400
104055,11105,2,4530
104056,11105,3,3610
104057,11105,4,2030
104058,11105,5,2460
104059,11105,6,640
104060,11106,1,7650
104061,11106,2,5090
104062,11106,3,3930
104063,11106,4,2200
104064,11106,5,2510
104065,11106,6,500
104066,11109,1,360
104067,11109,2,300
104068,11109,3,400
104069,11109,4,410
104070,11109,5,1110
104071,11109,6,980
104072,11201,1,5900
104073,11201,2,4120
104074,11201,3,4310
104075,11201,4,3590
104076,11201,5,7100
104077,11201,6,6950
104078,11203,1,16110
104079,11203,2,11100
104080,11203,3,5520
104081,11203,4,2690
104082,11203,5,2140
104083,11203,6,200
104084,11204,1,16610
104085,11204,2,7590
104086,11204,3,3720
104087,11204,4,2020
104088,11204,5,2430
104089,11204,6,830
104090,11205,1,7000
104091,11205,2,4250
104092,11205,3,2700
104093,11205,4,1600
104094,11205,5,2200
104095,11205,6,1020
104096,11206,1,17360
104097,11206,2,10000
104098,11206,3,4930
104099,11206,4,2140
104100,11206,5,1730
104101,11206,6,330
104102,11207,1,22470
104103,11207,2,12270
104104,11207,3,5000
104105,11207,4,2160
104106,11207,5,1510
104107,11207,6,120
104108,11208,1,23690
104109,11208,2,12310
104110,11208,3,4820
104111,11208,4,1820
104112,11208,5,1280
104113,11208,6,90
104114,11209,1,10950
104115,11209,2,6560
104116,11209,3,5560
104117,11209,4,3820
104118,11209,5,5280
104119,11209,6,1940
104120,11210,1,11580
104121,11210,2,7590
104122,11210,3,4230
104123,11210,4,2230
104124,11210,5,2650
104125,11210,6,1190
104126,11211,1,10060
104127,11211,2,6720
104128,11211,3,4980
104129,11211,4,3080
104130,11211,5,4190
104131,11211,6,1920
104132,11212,1,20670
104133,11212,2,10750
104134,11212,3,4260
104135,11212,4,1620
104136,11212,5,1030
104137,11212,6,40
104138,11213,1,13450
104139,11213,2,8470
104140,11213,3,4010
104141,11213,4,1680
104142,11213,5,1380
104143,11213,6,310
104144,11214,1,19700
104145,11214,2,9560
104146,11214,3,4930
104147,11214,4,2910
104148,11214,5,3130
104149,11214,6,630
104150,11215,1,6320
104151,11215,2,5390
104152,11215,3,5230
104153,11215,4,3710
104154,11215,5,6830
104155,11215,6,5450
104156,11216,1,10410
104157,11216,2,8190
104158,11216,3,5200
104159,11216,4,2310
104160,11216,5,2260
104161,11216,6,650
104162,11217,1,4290
104163,11217,2,3430
104164,11217,3,3060
104165,11217,4,2120
104166,11217,5,3630
104167,11217,6,2700
104168,11218,1,13360
104169,11218,2,7370
104170,11218,3,4420
104171,11218,4,2720
104172,11218,5,3870
104173,11218,6,1380
104174,11219,1,20390
104175,11219,2,7160
104176,11219,3,2670
104177,11219,4,1410
104178,11219,5,1610
104179,11219,6,670
104180,11220,1,36120
104181,11220,2,10250
104182,11220,3,3660
104183,11220,4,1670
104184,11220,5,1810
104185,11220,6,390
104186,11221,1,17480
104187,11221,2,11820
104188,11221,3,5640
104189,11221,4,2290
104190,11221,5,1900
104191,11221,6,390
104192,11222,1,5900
104193,11222,2,4960
104194,11222,3,4450
104195,11222,4,2670
104196,11222,5,3440
104197,11222,6,1150
104198,11223,1,15510
104199,11223,2,7450
104200,11223,3,3740
104201,11223,4,2220
104202,11223,5,2660
104203,11223,6,1160
104204,11224,1,10120
104205,11224,2,4890
104206,11224,3,2350
104207,11224,4,1280
104208,11224,5,1350
104209,11224,6,250
104210,11225,1,11770
104211,11225,2,8800
104212,11225,3,5070
104213,11225,4,2360
104214,11225,5,2070
104215,11225,6,530
104216,11226,1,23360
104217,11226,2,15390
104218,11226,3,7230
104219,11226,4,3080
104220,11226,5,2500
104221,11226,6,510
104222,11228,1,8260
104223,11228,2,4010
104224,11228,3,2430
104225,11228,4,1690
104226,11228,5,2450
104227,11228,6,870
104228,11229,1,14850
104229,11229,2,7940
104230,11229,3,4770
104231,11229,4,3110
104232,11229,5,4320
104233,11229,6,1360
104234,11230,1,15200
104235,11230,2,8330
104236,11230,3,4500
104237,11230,4,2540
104238,11230,5,3340
104239,11230,6,1580
104240,11231,1,4320
104241,11231,2,2880
104242,11231,3,2300
104243,11231,4,1580
104244,11231,5,3250
104245,11231,6,2690
104246,11232,1,6290
104247,11232,2,3130
104248,11232,3,1670
104249,11232,4,780
104250,11232,5,790
104251,11232,6,200
104252,11233,1,14410
104253,11233,2,9310
104254,11233,3,4410
104255,11233,4,1920
104256,11233,5,1620
104257,11233,6,310
104258,11234,1,14380
104259,11234,2,9770
104260,11234,3,6460
104261,11234,4,4360
104262,11234,5,6000
104263,11234,6,1590
104264,11235,1,16790
104265,11235,2,8410
104266,11235,3,4900
104267,11235,4,3090
104268,11235,5,4160
104269,11235,6,1350
104270,11236,1,19250
104271,11236,2,13560
104272,11236,3,7240
104273,11236,4,3900
104274,11236,5,3610
104275,11236,6,360
104276,11237,1,10550
104277,11237,2,7390
104278,11237,3,3350
104279,11237,4,1250
104280,11237,5,1030
104281,11237,6,160
104282,11238,1,7750
104283,11238,2,6650
104284,11238,3,5750
104285,11238,4,3350
104286,11238,5,4920
104287,11238,6,2520
104288,11239,1,2880
104289,11239,2,2210
104290,11239,3,1320
104291,11239,4,490
104292,11239,5,310
104293,11239,6,0
104294,11354,1,17930
104295,11354,2,5670
104296,11354,3,2820
104297,11354,4,1680
104298,11354,5,1870
104299,11354,6,450
104300,11355,1,34950
104301,11355,2,8470
104302,11355,3,3520
104303,11355,4,1800
104304,11355,5,1850
104305,11355,6,370
104306,11356,1,5860
104307,11356,2,2920
104308,11356,3,1470
104309,11356,4,900
104310,11356,5,1040
104311,11356,6,190
104312,11357,1,6160
104313,11357,2,3560
104314,11357,3,2890
104315,11357,4,2150
104316,11357,5,3730
104317,11357,6,1360
104318,11358,1,8030
104319,11358,2,3830
104320,11358,3,2320
104321,11358,4,1540
104322,11358,5,2510
104323,11358,6,750
104324,11360,1,2690
104325,11360,2,1630
104326,11360,3,1400
104327,11360,4,1210
104328,11360,5,2230
104329,11360,6,880
104330,11361,1,4950
104331,11361,2,2770
104332,11361,3,1930
104333,11361,4,1380
104334,11361,5,2200
104335,11361,6,700
104336,11362,1,2500
104337,11362,2,1580
104338,11362,3,1220
104339,11362,4,1060
104340,11362,5,1760
104341,11362,6,620
104342,11363,1,970
104343,11363,2,560
104344,11363,3,460
104345,11363,4,350
104346,11363,5,630
104347,11363,6,460
104348,11364,1,6060
104349,11364,2,3430
104350,11364,3,2580
104351,11364,4,1930
104352,11364,5,2950
104353,11364,6,850
104354,11365,1,8690
104355,11365,2,4620
104356,11365,3,2850
104357,11365,4,1930
104358,11365,5,2770
104359,11365,6,610
104360,11366,1,2460
104361,11366,2,1320
104362,11366,3,870
104363,11366,4,590
104364,11366,5,1080
104365,11366,6,410
104366,11367,1,7950
104367,11367,2,4100
104368,11367,3,2570
104369,11367,4,1570
104370,11367,5,2050
104371,11367,6,620
104372,11368,1,27870
104373,11368,2,12450
104374,11368,3,4960
104375,11368,4,1860
104376,11368,5,1300
104377,11368,6,90
104378,11369,1,8830
104379,11369,2,4610
104380,11369,3,2320
104381,11369,4,1070
104382,11369,5,1010
104383,11369,6,110
104384,11370,1,5980
104385,11370,2,3060
104386,11370,3,1810
104387,11370,4,990
104388,11370,5,1190
104389,11370,6,200
104390,11372,1,15910
104391,11372,2,8280
104392,11372,3,4810
104393,11372,4,2470
104394,11372,5,2880
104395,11372,6,670
104396,11373,1,27380
104397,11373,2,12280
104398,11373,3,5910
104399,11373,4,2610
104400,11373,5,2360
104401,11373,6,330
104402,11374,1,7960
104403,11374,2,4840
104404,11374,3,3760
104405,11374,4,2470
104406,11374,5,3130
104407,11374,6,740
104408,11375,1,9000
104409,11375,2,5930
104410,11375,3,5610
104411,11375,4,4350
104412,11375,5,7320
104413,11375,6,3260
104414,11377,1,20980
104415,11377,2,11150
104416,11377,3,6270
104417,11377,4,3220
104418,11377,5,3350
104419,11377,6,520
104420,11378,1,6730
104421,11378,2,4020
104422,11378,3,2570
104423,11378,4,1710
104424,11378,5,2170
104425,11378,6,440
104426,11379,1,5550
104427,11379,2,3590
104428,11379,3,2860
104429,11379,4,1950
104430,11379,5,3070
104431,11379,6,730
104432,11385,1,19640
104433,11385,2,12760
104434,11385,3,7620
104435,11385,4,3880
104436,11385,5,4320
104437,11385,6,570
104438,11411,1,3620
104439,11411,2,2850
104440,11411,3,1810
104441,11411,4,1140
104442,11411,5,1210
104443,11411,6,130
104444,11412,1,7580
104445,11412,2,5500
104446,11412,3,2970
104447,11412,4,1640
104448,11412,5,1480
104449,11412,6,110
104450,11413,1,7920
104451,11413,2,5760
104452,11413,3,3580
104453,11413,4,2060
104454,11413,5,2170
104455,11413,6,220
104456,11414,1,3780
104457,11414,2,2760
104458,11414,3,2280
104459,11414,4,1630
104460,11414,5,2350
104461,11414,6,520
104462,11415,1,2940
104463,11415,2,2040
104464,11415,3,1790
104465,11415,4,1130
104466,11415,5,1440
104467,11415,6,330
104468,11416,1,6080
104469,11416,2,3390
104470,11416,3,1580
104471,11416,4,680
104472,11416,5,560
104473,11416,6,40
104474,11417,1,6370
104475,11417,2,3910
104476,11417,3,2120
104477,11417,4,1160
104478,11417,5,1250
104479,11417,6,150
104480,11418,1,8150
104481,11418,2,4520
104482,11418,3,2340
104483,11418,4,1180
104484,11418,5,1290
104485,11418,6,230
104486,11419,1,11940
104487,11419,2,6370
104488,11419,3,2820
104489,11419,4,1280
104490,11419,5,1050
104491,11419,6,100
104492,11420,1,10010
104493,11420,2,6320
104494,11420,3,3240
104495,11420,4,1690
104496,11420,5,1610
104497,11420,6,150
104498,11421,1,9220
104499,11421,2,5310
104500,11421,3,2820
104501,11421,4,1390
104502,11421,5,1430
104503,11421,6,140
104504,11422,1,5930
104505,11422,2,4510
104506,11422,3,2690
104507,11422,4,1590
104508,11422,5,1660
104509,11422,6,180
104510,11423,1,6370
104511,11423,2,4180
104512,11423,3,2090
104513,11423,4,1150
104514,11423,5,1200
104515,11423,6,290
104516,11426,1,3050
104517,11426,2,1870
104518,11426,3,1360
104519,11426,4,980
104520,11426,5,1570
104521,11426,6,300
104522,11427,1,4110
104523,11427,2,2780
104524,11427,3,1780
104525,11427,4,1200
104526,11427,5,1460
104527,11427,6,360
104528,11428,1,3940
104529,11428,2,2640
104530,11428,3,1530
104531,11428,4,910
104532,11428,5,1010
104533,11428,6,90
104534,11429,1,5330
104535,11429,2,3810
104536,11429,3,1960
104537,11429,4,1070
104538,11429,5,1060
104539,11429,6,70
104540,11430,1,60
104541,11430,2,40
104542,11430,3,50
104543,11430,4,30
104544,11430,5,0
104545,11430,6,0
104546,11432,1,13450
104547,11432,2,6880
104548,11432,3,3460
104549,11432,4,1800
104550,11432,5,2100
104551,11432,6,630
104552,11433,1,8020
104553,11433,2,4600
104554,11433,3,2090
104555,11433,4,960
104556,11433,5,810
104557,11433,6,60
104558,11434,1,12710
104559,11434,2,9480
104560,11434,3,5410
104561,11434,4,2660
104562,11434,5,2160
104563,11434,6,160
104564,11435,1,11830
104565,11435,2,6780
104566,11435,3,3760
104567,11435,4,1990
104568,11435,5,1830
104569,11435,6,180
104570,11436,1,4170
104571,11436,2,2770
104572,11436,3,1480
104573,11436,4,710
104574,11436,5,570
104575,11436,6,30
