,STATION,zipcode,hir
0,59 ST,10022,10610.0
1,5 AV/59 ST,10022,10610.0
2,57 ST-7 AV,10106,
3,TIMES SQ-42 ST,10018,2540.0
4,34 ST-HERALD SQ,10001,4920.0
5,28 ST,10001,4920.0
6,14 ST-UNION SQ,10003,12580.0
7,8 ST-NYU,10003,12580.0
8,CITY HALL,10007,2160.0
9,CORTLANDT ST,10007,2160.0
10,RECTOR ST,10006,1190.0
11,WHITEHALL S-FRY,10004,1370.0
12,DELANCEY/ESSEX,10002,5270.0
13,CHAMBERS ST,10007,2160.0
14,PARK PLACE,10007,2160.0
15,BOTANIC GARDEN,11225,2600.0
16,PROSPECT PARK,11225,2600.0
17,NEWKIRK PLAZA,11226,3010.0
18,NECK RD,11229,5680.0
19,BOROUGH HALL,11201,14050.0
20,JAY ST-METROTEC,11201,14050.0
21,ATL AV-BARCLAY,11217,6330.0
22,4AV-9 ST,11215,12280.0
23,36 ST,10016,13130.0
24,45 ST,10036,6580.0
25,53 ST,10019,10440.0
26,BAY RIDGE-95 ST,11209,7220.0
27,9 AV,11219,2280.0
28,71 ST,10021,11800.0
29,79 ST,10075,6800.0
30,BAY 50 ST,11214,3760.0
31,W 8 ST-AQUARIUM,11224,1600.0
32,JEFFERSON ST,10002,5270.0
33,MYRTLE-WYCKOFF,11237,1190.0
34,EAST 105 ST,10029,2610.0
35,JFK JAMAICA CT1,11435,2010.0
36,FLUSHING AV,11385,4890.0
37,ALABAMA AV,11207,1630.0
38,NORWOOD AV,11208,1370.0
39,75 ST-ELDERTS,11421,1570.0
40,104 ST,10025,14930.0
41,121 ST,10027,3840.0
42,KNICKERBOCKER,10036,6580.0
43,INWOOD-207 ST,10034,1740.0
44,190 ST,10040,1790.0
45,181 ST,10033,2570.0
46,175 ST,10033,2570.0
47,125 ST,10027,3840.0
48,103 ST,10029,2610.0
49,96 ST,10025,14930.0
50,81 ST-MUSEUM,10024,14680.0
51,42 ST-PORT AUTH,10036,6580.0
52,34 ST-PENN STA,10120,
53,W 4 ST-WASH SQ,10012,5270.0
54,HIGH ST,11201,14050.0
55,HOYT-SCHER,10016,13130.0
56,CLINTON-WASH AV,11238,7440.0
57,KINGSTON-THROOP,11213,1690.0
58,BROADWAY JCT,11233,1930.0
59,SHEPHERD AV,11208,1370.0
60,EUCLID AV,11208,1370.0
61,GRANT AV,11208,1370.0
62,88 ST,10024,14680.0
63,AQUEDUCT N.COND,10019,10440.0
64,AQUEDUCT RACETR,11417,1400.0
65,BEACH 90 ST,11693,
66,BEACH 98 ST,11694,
67,BEACH 105 ST,11694,
68,ROCKAWAY PARK B,11693,
69,BEACH 67 ST,11692,
70,BEACH 60 ST,11692,
71,BEACH 44 ST,11691,
72,BEACH 25 ST,11691,
73,161/YANKEE STAD,10451,740.0
74,174-175 STS,10453,570.0
75,182-183 STS,10453,570.0
76,NORWOOD 205 ST,10467,1730.0
77,5 AV/53 ST,10022,10610.0
78,LEXINGTON AV/53,10010,7990.0
79,COURT SQ-23 ST,11101,4660.0
80,QUEENS PLAZA,11101,4660.0
81,46 ST,10036,6580.0
82,65 ST,10065,7700.0
83,GRAND-NEWTOWN,11373,2690.0
84,FOREST HILLS 71,11375,10580.0
85,75 AV,11375,10580.0
86,JAMAICA 179 ST,11432,2730.0
87,COURT SQ,11101,4660.0
88,MYRTLE-WILLOUGH,11206,2060.0
89,BEDFORD-NOSTRAN,11205,3220.0
90,47-50 STS ROCK,10020,
91,42 ST-BRYANT PK,10018,2540.0
92,B'WAY-LAFAYETTE,10012,5270.0
93,YORK ST,10013,5830.0
94,SMITH-9 ST,11231,5940.0
95,4 AV-9 ST,11215,12280.0
96,15 ST-PROSPECT,11215,12280.0
97,AVENUE N,11234,7590.0
98,LEXINGTON AV/63,10010,7990.0
99,ROOSEVELT ISLND,10044,1290.0
100,21 ST-QNSBRIDGE,11101,4660.0
101,JAMAICA VAN WK,11418,1520.0
102,SUTPHIN-ARCHER,11435,2010.0
103,72 ST-2 AVE,10021,11800.0
104,86 ST-2 AVE,10028,11640.0
105,96 ST-2 AVE,10128,14240.0
106,ORCHARD BEACH,10464,580.0
107,NEWARK HW BMEBE,11211,6110.0
108,GROVE STREET,10014,9360.0
109,PAVONIA/NEWPORT,07310,
110,PATH WTC 2,10007,2160.0
111,PATH NEW WTC,10006,1190.0
112,SOUTH FERRY,10004,1370.0
113,FRANKLIN ST,10013,5830.0
114,18 ST,10003,12580.0
115,66 ST-LINCOLN,10023,17230.0
116,116 ST-COLUMBIA,10027,3840.0
117,137 ST CITY COL,10031,1890.0
118,157 ST,10032,1760.0
119,191 ST,10040,1790.0
120,207 ST,10034,1740.0
121,215 ST,10034,1740.0
122,V.CORTLANDT PK,10471,3190.0
123,BOWLING GREEN,10004,1370.0
124,BROOKLYN BRIDGE,10038,4010.0
125,ASTOR PL,10003,12580.0
126,GRD CNTRL-42 ST,10017,5910.0
127,68ST-HUNTER CO,10021,11800.0
128,138/GRAND CONC,10451,740.0
129,149/GRAND CONC,10451,740.0
130,BURNSIDE AV,10453,570.0
131,183 ST,10033,2570.0
132,WOODLAWN,10470,980.0
133,CENTRAL PK N110,10026,2910.0
134,HARLEM 148 ST,10039,860.0
135,3 AV-149 ST,10455,300.0
136,JACKSON AV,11101,4660.0
137,INTERVALE AV,10459,420.0
138,SIMPSON ST,10459,420.0
139,FREEMAN ST,11222,4590.0
140,WEST FARMS SQ,10460,520.0
141,219 ST,11413,2390.0
142,3 AV 138 ST,10454,260.0
143,CYPRESS AV,10454,260.0
144,E 143/ST MARY'S,10454,260.0
145,WHITLOCK AV,10459,420.0
146,PARKCHESTER,10462,2460.0
147,BUHRE AV,10461,2860.0
148,PELHAM BAY PARK,10461,2860.0
149,VERNON-JACKSON,11101,4660.0
150,HUNTERS PT AV,11101,4660.0
151,QUEENSBORO PLZ,11101,4660.0
152,39 AV,11101,4660.0
153,33 ST-RAWSON ST,11101,4660.0
154,40 ST LOWERY ST,11104,2240.0
155,46 ST BLISS ST,11104,2240.0
156,61 ST WOODSIDE,11377,3870.0
157,74 ST-BROADWAY,11372,3550.0
158,90 ST-ELMHURST,11373,2690.0
159,103 ST-CORONA,11368,1390.0
160,METS-WILLETS PT,11368,1390.0
161,34 ST-HUDSON YD,10001,4920.0
162,CLARK ST,11201,14050.0
163,STERLING ST,11225,2600.0
164,BEVERLY RD,11415,1770.0
165,ST. GEORGE,10301,3280.0
